sku,name,brand,price,color,frame,material,measure,sunglasses,woman
VO5317,TakeaChance,Vogue,145.00,Nero,Cat-eye,Acetato,49-17-135,false,true
VO5327S,VO5327S,Vogue,104.00,Havana,Phantos,Acetato,48-20-145,false,true
VO4226,VO4226,Vogue,105.00,Argento,Rotonda,Metallo,55-17-135,false,true
VO5371,VO5371,Vogue,105.00,Nero,Rettangolare,Acetato,50-18-145,false,true
VO5367,VO5367,Vogue,105.00,Blu,Rotonda,Acetato,50-20-145,false,true
VO5236BM,VO5236BM,Vogue,145.00,Nero,Cat-eye,Acetato,53-17-140,false,true
VO5291,VO5291,Vogue,105.00,Fuchsia,Farfalla,Acetato,53-18-140,false,true
VO5331,VO5331,Vogue,125.00,Havana,Quadrata,Acetato,49-21-145,false,true
VO5314,VO5314,Vogue,125.00,Nero,Rettangolare,Acetato,55-18-145,false,true
VO5332,VO5332,Vogue,115.00,Verde,Rotonda,Acetato,55-18-145,false,true
VO5414SR,Milan,Vogue,99.00,Rosa,Rettangolare,Acetato,51-18-135,true,true
VO5414SH,Milan,Vogue,99.00,Havana,Rettangolare,Acetato,51-18-135,true,true
VO4180S,VO4180S,Vogue,114.00,Argento,Ottagonale,Metallo,54-18-135,true,true
VO4212S,L.A.,Vogue,120.00,Argento,Goccia,Metallo,59-14-140,true,true
VO5337S,VO5337S,Vogue,104.00,Havana,Quadrata,Acetato,53-18-140,true,true
VO5212S,VO5212S,Vogue,124.00,Tartaruga,Cat-eye,Acetato,55-19-140,true,true
